"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX4,MX2,MX3,MX1";"MX-1U-NoLED";4;"MX-NoLED";;;
2;"D4,D3,D1,D2";"D_0805_2012Metric";4;"SOD-123";;;
3;"R4,R1";"R_0805_2012Metric";2;"10k";;;
4;"SW1";"SKQG-1155865";1;"SW_Push";;;
5;"C3";"C_0805_2012Metric";1;"1uF";;;
6;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
7;"C4,C6,C5";"C_0805_2012Metric";3;"0.1uF";;;
8;"R3,R2";"R_0805_2012Metric";2;"22";;;
9;"USB1";"Molex-0548190589";1;"Molex-0548190589";;;
10;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
11;"C7";"C_0805_2012Metric";1;"10uF";;;
12;"C2,C1";"C_0805_2012Metric";2;"22pF";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
